min_price,max_price,VenueClass,num_links,seguidoresSpotify,popularidad,subsYT,peso_promotor,conciertos_del_artista_en_ciudad,num_noches,dias_Venta,dias_desde_finVenta,tiene_wiki,tiene_youtube,tiene_lastfm_url,tiene_twitter,tiene_instagram,tiene_itunes,tiene_homepage,NumGeneros,Adult Contemporary,Alternative,Alternative Rock,Ballads/Romantic,Blues,Classical,Classical/Vocal,Club Dance,Dance,Dance/Electronic,Flamenco,Folk,Funky Breaks,Hard Rock,Heavy Metal,Hip-Hop/Rap,Indie Pop,Jazz,Jazz Blues,K-Pop,Latin,Latin Pop,Metal,New Wave,Other,Performance Art,Pop,Pop Metal,Pop Rock,Pop Vocal,Psychedelic,R&B,Reggae,Rock,Singer-Songwriter,Soul,Urban,World
18.0,18.0,0,0,4564084.492307693,60.90461538461538,1716398.4314720812,65,1.0,1,171,,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0
37.0,37.0,0,10,2403382.0,70.0,1716398.4314720812,65,1.0,1,169,,1,1,1,1,1,1,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
44.0,44.0,0,5,617811.0,57.0,199000.0,15,1.0,1,119,,0,1,0,0,1,1,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
60.0,280.0,1,0,4564084.492307693,60.90461538461538,1716398.4314720812,85,1.0,1,169,,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
25.0,60.0,1,0,4564084.492307693,60.90461538461538,1716398.4314720812,3,1.0,1,203,,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0
40.0,65.0,2,9,1169570.0,61.0,1716398.4314720812,3,1.0,1,190,,1,1,0,1,1,1,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
47.0,52.0,2,5,617811.0,57.0,199000.0,15,1.0,1,158,,0,1,0,0,1,1,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
70.0,260.0,1,10,10615731.0,78.0,1716398.4314720812,10,1.0,1,191,,1,1,1,1,1,1,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1
59.0,161.0,2,10,9458106.0,76.0,7200000.0,1,1.0,1,191,,1,1,1,1,1,1,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1
75.0,90.0,2,10,10615731.0,78.0,1716398.4314720812,10,1.0,1,131,,1,1,1,1,1,1,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1
25.0,38.0,0,0,4564084.492307693,60.90461538461538,1716398.4314720812,65,1.0,1,195,,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0
49.0,79.0,1,0,4564084.492307693,60.90461538461538,1716398.4314720812,1,1.0,1,262,,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
47.0,52.0,2,5,617811.0,57.0,199000.0,5,1.0,1,219,,0,1,0,0,1,1,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
85.0,240.0,2,10,10615731.0,78.0,1716398.4314720812,10,2.0,1,198,,1,1,1,1,1,1,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1
25.0,38.0,0,0,4564084.492307693,60.90461538461538,1716398.4314720812,65,1.0,1,197,,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0
50.0,55.0,2,9,4564084.492307693,60.90461538461538,1716398.4314720812,85,1.0,1,263,,1,1,1,1,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
60.0,180.0,1,0,4564084.492307693,60.90461538461538,1716398.4314720812,85,1.0,1,186,,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
75.0,175.0,2,10,10615731.0,78.0,1716398.4314720812,10,1.0,1,271,,1,1,1,1,1,1,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1
60.0,230.0,2,0,4564084.492307693,60.90461538461538,1716398.4314720812,85,1.0,1,198,,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
30.0,30.0,1,0,4564084.492307693,60.90461538461538,1716398.4314720812,2,1.0,1,273,,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
36.0,85.0,3,7,10809521.0,82.0,7250000.0,2,1.0,1,185,,0,1,0,1,1,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0
59.0,221.0,2,10,9458106.0,76.0,7200000.0,1,1.0,1,259,,1,1,1,1,1,1,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1
35.0,90.0,2,0,4564084.492307693,60.90461538461538,1716398.4314720812,3,2.0,2,141,,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
75.0,210.0,2,10,10615731.0,78.0,1716398.4314720812,10,1.0,1,187,,1,1,1,1,1,1,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1
47.0,52.0,2,5,617811.0,57.0,199000.0,5,1.0,1,204,,0,1,0,0,1,1,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
35.0,90.0,2,0,4564084.492307693,60.90461538461538,1716398.4314720812,4,1.0,1,186,,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
25.0,90.0,2,0,4564084.492307693,60.90461538461538,1716398.4314720812,1,1.0,1,150,,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
60.0,110.0,2,10,10615731.0,78.0,1716398.4314720812,10,1.0,1,227,,1,1,1,1,1,1,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1
40.0,90.0,2,7,2658681.0,75.0,2750000.0,6,1.0,1,209,,0,1,0,1,1,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
80.0,650.0,2,9,14968817.0,82.0,1716398.4314720812,2,1.0,1,359,,1,1,0,1,1,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1
25.0,110.0,3,0,4564084.492307693,60.90461538461538,1716398.4314720812,1,1.0,1,207,,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
40.0,85.0,2,9,2495275.0,69.0,2680000.0,2,1.0,1,232,,1,1,1,0,1,1,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1
60.0,190.0,2,10,10615731.0,78.0,1716398.4314720812,10,1.0,1,381,,1,1,1,1,1,1,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1
40.0,90.0,2,0,4564084.492307693,60.90461538461538,1716398.4314720812,3,1.0,1,211,,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
55.0,900.0,3,9,14968817.0,82.0,1716398.4314720812,1,1.0,1,234,,1,1,0,1,1,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1
25.0,90.0,2,0,4564084.492307693,60.90461538461538,1716398.4314720812,4,1.0,1,209,,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
55.0,70.0,2,10,6704912.0,85.0,1716398.4314720812,85,1.0,1,158,,1,1,1,1,1,1,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
35.0,90.0,2,7,2658681.0,75.0,2750000.0,6,1.0,1,210,,0,1,0,1,1,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
75.0,650.0,2,9,14968817.0,82.0,1716398.4314720812,2,1.0,1,364,,1,1,0,1,1,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1
75.0,255.0,2,10,10615731.0,78.0,1716398.4314720812,10,2.0,1,212,,1,1,1,1,1,1,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1
35.0,120.0,1,0,4564084.492307693,60.90461538461538,1716398.4314720812,3,1.0,1,215,,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
75.0,230.0,2,10,10615731.0,78.0,1716398.4314720812,10,2.0,1,237,,1,1,1,1,1,1,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1
35.0,85.0,0,7,2658681.0,75.0,2750000.0,6,1.0,1,213,,0,1,0,1,1,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
70.0,125.0,3,9,2495275.0,69.0,2680000.0,2,1.0,1,366,,1,1,1,0,1,1,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1
50.0,1250.0,3,9,14968817.0,82.0,1716398.4314720812,1,2.0,2,301,,1,1,0,1,1,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1
105.0,330.0,1,10,8601325.0,75.0,1716398.4314720812,5,5.0,2,240,,1,1,1,1,1,1,1,7,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
141.1,361.11,2,9,14968817.0,82.0,1716398.4314720812,1,1.0,1,136,,1,1,0,1,1,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1
40.0,40.0,0,10,451720.0,52.0,1716398.4314720812,85,1.0,1,219,,1,1,1,1,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
40.0,90.0,1,0,4564084.492307693,60.90461538461538,1716398.4314720812,3,2.0,1,160,,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
40.0,92.0,1,8,443129.0,54.0,1716398.4314720812,2,1.0,1,245,,0,1,0,1,1,1,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
75.0,500.0,3,9,14968817.0,82.0,1716398.4314720812,2,1.0,1,8,,1,1,0,1,1,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1
50.0,90.0,3,5,2918356.0,72.0,2380000.0,1,1.0,1,222,,0,1,0,1,1,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0
25.0,120.0,1,0,4564084.492307693,60.90461538461538,1716398.4314720812,4,1.0,1,229,,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
45.0,90.0,1,0,4564084.492307693,60.90461538461538,1716398.4314720812,2,2.0,2,172,,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
60.0,900.0,1,9,14968817.0,82.0,1716398.4314720812,2,2.0,2,250,,1,1,0,1,1,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1
35.0,120.0,2,0,4564084.492307693,60.90461538461538,1716398.4314720812,4,1.0,1,227,,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
43.0,92.0,2,0,4564084.492307693,60.90461538461538,1716398.4314720812,1,1.0,1,176,,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
45.0,90.0,2,0,4564084.492307693,60.90461538461538,1716398.4314720812,3,1.0,1,252,,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
70.0,680.0,1,9,14968817.0,82.0,1716398.4314720812,2,1.0,1,212,,1,1,0,1,1,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1
40.0,90.0,1,0,4564084.492307693,60.90461538461538,1716398.4314720812,6,1.0,1,230,,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
50.0,50.0,0,10,2878900.0,70.0,1716398.4314720812,85,1.0,1,255,,1,1,1,1,1,1,1,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
60.0,720.0,3,9,14968817.0,82.0,1716398.4314720812,1,1.0,1,156,,1,1,0,1,1,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1
30.0,100.0,2,8,2918923.0,68.0,1540000.0,3,1.0,1,236,,1,1,0,1,1,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1
38.0,75.0,1,0,4564084.492307693,60.90461538461538,1716398.4314720812,2,1.0,1,266,,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
47.0,52.0,2,5,617811.0,57.0,199000.0,5,1.0,1,218,,0,1,0,0,1,1,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
47.0,55.0,0,5,617811.0,57.0,199000.0,5,1.0,1,296,,0,1,0,0,1,1,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
30.0,30.0,1,7,58222.0,46.0,1716398.4314720812,3,1.0,1,303,,0,1,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0
47.0,52.0,2,5,617811.0,57.0,199000.0,15,1.0,1,254,,0,1,0,0,1,1,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
35.0,35.0,1,4,213583.0,52.0,1716398.4314720812,85,1.0,1,299,,0,0,0,0,0,1,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0
35.0,35.0,0,4,213583.0,52.0,1716398.4314720812,85,1.0,1,244,,0,0,0,0,0,1,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0
40.0,65.0,2,9,1169570.0,61.0,1716398.4314720812,3,1.0,1,245,,1,1,0,1,1,1,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
35.0,35.0,0,0,4564084.492307693,60.90461538461538,1716398.4314720812,2,1.0,1,291,,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
47.0,52.0,1,5,617811.0,57.0,199000.0,6,1.0,1,380,,0,1,0,0,1,1,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
40.0,65.0,2,9,1169570.0,61.0,1716398.4314720812,3,1.0,1,331,,1,1,0,1,1,1,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
30.0,80.0,2,0,4564084.492307693,60.90461538461538,1716398.4314720812,2,1.0,1,250,,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
40.0,105.0,2,10,769641.0,64.0,1570000.0,85,1.0,1,316,,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
40.0,40.0,1,10,769641.0,64.0,1570000.0,85,1.0,1,338,,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
47.0,52.0,2,5,617811.0,57.0,199000.0,15,1.0,1,339,,0,1,0,0,1,1,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
47.0,52.0,2,5,617811.0,57.0,199000.0,15,1.0,1,363,,0,1,0,0,1,1,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
38.0,55.0,2,5,4564084.492307693,60.90461538461538,501000.0,65,1.0,1,392,,0,1,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
22.0,22.0,0,0,4564084.492307693,60.90461538461538,1716398.4314720812,8,1.0,1,379,,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
22.0,22.0,0,10,47368.0,35.0,1716398.4314720812,13,1.0,1,299,,1,1,1,1,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
30.0,30.0,0,9,4067514.0,68.0,2180000.0,8,1.0,1,144,,1,1,1,1,1,1,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
